Location (Village/Town),Crop,Season,Soil Type,Min Temperature (°C),Max Temperature (°C),Rainfall Range (mm),Yield (Tonnes/Ha)
Puttur,Rice,Monsoon,Clay Loam,22,30,600-800,4.5
Uppinangady,Areca,Throughout,Laterite Soil,21,30,700-900,2.5
Nekkilady,Coconut,Throughout,Sandy Clay,20,32,800-1000,15
Aithoor,Cocoa,Monsoon,Clay Loam,20,29,600-800,1.2
Alankaru,Banana,Summer,Sandy Loam,22,33,500-700,30
Alanthaya,Rice,Monsoon,Clay Loam,22,30,600-800,4.2
Ariyadka,Coconut,Throughout,Sandy Clay,20,32,800-1000,14.5
Aryapu,Areca,Throughout,Laterite Soil,21,30,700-900,2.2
Badagannur,Cocoa,Monsoon,Clay Loam,20,29,600-800,1.1
Bajathuru,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,78
Ballya,Maize,Summer,Loamy Sand,18,29,400-600,5.9
Balnadu,Vegetables,Winter,Red Soil,15,25,300-500,7.5
Bannur,Rice,Monsoon,Clay Loam,22,30,600-800,4.1
Bantra,Coconut,Throughout,Sandy Clay,20,32,800-1000,14.2
Belandoor,Areca,Throughout,Laterite Soil,21,30,700-900,2.1
Bellipadi,Cocoa,Monsoon,Clay Loam,20,29,600-800,1
Bettampady,Banana,Summer,Sandy Loam,22,33,500-700,28
Bilinele,Rice,Monsoon,Clay Loam,22,30,600-800,4
Charvaka,Coconut,Throughout,Sandy Clay,20,32,800-1000,14
Chickamudnoor,Areca,Throughout,Laterite Soil,21,30,700-900,2
Dolpady,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.9
Golithattu,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,77
Haleneranki,Maize,Summer,Loamy Sand,18,29,400-600,5.7
Hirebandadi,Vegetables,Winter,Red Soil,15,25,300-500,7.2
Ichlampady,Rice,Monsoon,Clay Loam,22,30,600-800,3.9
Irde,Coconut,Throughout,Sandy Clay,20,32,800-1000,13.8
Kabaka,Areca,Throughout,Laterite Soil,21,30,700-900,1.9
Kadaba,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.8
Kaimana,Banana,Summer,Sandy Loam,22,33,500-700,27
Kaniyoor,Rice,Monsoon,Clay Loam,22,30,600-800,3.8
Kedambady,Coconut,Throughout,Sandy Clay,20,32,800-1000,13.5
Kemminje,Areca,Throughout,Laterite Soil,21,30,700-900,1.8
Keyyur,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,76
Kodimbady,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.7
Kodimbala,Banana,Summer,Sandy Loam,22,33,500-700,26
,,,,,,,
Kolthige,Coconut,Throughout,Sandy Clay,20,32,800-1000,13.2
Kombaru,Areca,Throughout,Laterite Soil,21,30,700-900,1.7
Konaje,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,75
Konalu,Maize,Summer,Loamy Sand,18,29,400-600,5.5
Kowkradi,Vegetables,Winter,Red Soil,15,25,300-500,6.9
Kudipadi,Rice,Monsoon,Clay Loam,22,30,600-800,3.6
Kudmaru,Coconut,Throughout,Sandy Clay,20,32,800-1000,13
Kunthoor,Areca,Throughout,Laterite Soil,21,30,700-900,1.6
Kuriya,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.6
Kutrupadi,Banana,Summer,Sandy Loam,22,33,500-700,25
Madnooru,Rice,Monsoon,Clay Loam,22,30,600-800,3.5
Mundoor,Coconut,Throughout,Sandy Clay,20,32,800-1000,12.8
Narimogru,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,74
Nekkiladi,Maize,Summer,Loamy Sand,18,29,400-600,5.3
Nelyadi,Vegetables,Winter,Red Soil,15,25,300-500,6.7
Nettanigemudnoor,Rice,Monsoon,Clay Loam,22,30,600-800,3.4
Nidpalli,Coconut,Throughout,Sandy Clay,20,32,800-1000,12.5
Noojibalthila,Areca,Throughout,Laterite Soil,21,30,700-900,1.5
Olamogru,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.5
Padnoor,Banana,Summer,Sandy Loam,22,33,500-700,24
Paduvannur,Rice,Monsoon,Clay Loam,22,30,600-800,3.3
Palthadi,Coconut,Throughout,Sandy Clay,20,32,800-1000,12.2
Panaje,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,73
Perabe,Maize,Summer,Loamy Sand,18,29,400-600,5.1
Punachpady,Vegetables,Winter,Red Soil,15,25,300-500,6.5
Ramakunja,Rice,Monsoon,Clay Loam,22,30,600-800,3.2
Renjilady,Coconut,Throughout,Sandy Clay,20,32,800-1000,12
Sarve,Areca,Throughout,Laterite Soil,21,30,700-900,1.4
Savanur,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.4
Shanthigodu,Banana,Summer,Sandy Loam,22,33,500-700,23
Shiradi,Rice,Monsoon,Clay Loam,22,30,600-800,3.1
Shiribagilu,Coconut,Throughout,Sandy Clay,20,32,800-1000,11.8
Thikalbail,Areca,Throughout,Laterite Soil,21,30,700-900,1.3
Ubar,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,72
Uppinangady,Maize,Summer,Loamy Sand,18,29,400-600,5
Vitla,Vegetables,Winter,Red Soil,15,25,300-500,6.3
Alangar,Rice,Monsoon,Clay Loam,22,30,600-800,3
Alvase,Coconut,Throughout,Sandy Clay,20,32,800-1000,11.5
Badagannur,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.3
Bajathuru,Banana,Summer,Sandy Loam,22,33,500-700,22
Ballya,Rice,Monsoon,Clay Loam,22,30,600-800,2.9
Balnadu,Coconut,Throughout,Sandy Clay,20,32,800-1000,11.2
Bannur,Rice,Monsoon,Clay Loam,22,30,600-800,2.8
Bantra,Coconut,Throughout,Sandy Clay,20,32,800-1000,11
Belandoor,Areca,Throughout,Laterite Soil,21,30,700-900,1.2
Bellipadi,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.2
Bettampady,Banana,Summer,Sandy Loam,22,33,500-700,21
Bilinele,Rice,Monsoon,Clay Loam,22,30,600-800,2.7
Charvaka,Coconut,Throughout,Sandy Clay,20,32,800-1000,10.8
Chickamudnoor,Areca,Throughout,Laterite Soil,21,30,700-900,1.1
Dolpady,Cocoa,Monsoon,Clay Loam,20,29,600-800,0.1
Golithattu,Sugarcane,Monsoon,Alluvial Soil,20,32,800-1000,71
Haleneranki,Maize,Summer,Loamy Sand,18,29,400-600,4.9
Hirebandadi,Vegetables,Winter,Red Soil,15,25,300-500,6.2
Ichlampady,Rice,Monsoon,Clay Loam,22,30,600-800,2.6
Irde,Coconut,Throughout,Sandy Clay,20,32,800-1000,10.5
Kabaka,Areca,Throughout,Laterite Soil,21,30,700-900,1
Kadaba,Cocoa,Monsoon,Clay Loam,20,29,600-800,0
